company_name,name,description,link,start_date,host_company_domains,image,tweet_link,tweet_text,webinar_link,image_link,word
FICO,,,,,,,https://twitter.com/FICO/status/1321723733086769152,"How are you changing your processes to fight scams?
Join @FICO Webinar: How to Fight Fraud from Scams. Learn how to identify scams  and protect your organisation and customers. Register Today! https://t.co/hvOz34QirG #FraudPrevention https://t.co/5vQqqWM53T",https://bit.ly/31SByau,http://pbs.twimg.com/media/Ele0uzVXIAEw8Bx.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1321474460738818053,"RT @PSCUForward: PSCU to leverage @FICO Customer Communications Services (CCS) to build cutting-edge #fraud alert program for more than 1,5…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1319365633985908736,"RT @AlexH_Johnson: Looking for a few more webinars to fill those pesky open spots on your calendar?

May I suggest the upcoming @FICO virtu…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1318603891676729346,RT @ScottZoldi: It's a busy week for sharing ideas &amp; innovations! On 10/20 I'm delighted to join the @foreignbanksuk (AFB) Virtual #Operati…,,,conference
FICO,,,,,,,https://twitter.com/FICO/status/1318536820750245888,"RT @LizFightsFraud: #Authorizedpushpayment fraud, or #scams in the more common vernacular, are a particularly nasty piece of work from #fra…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1318356363911876616,"@FARNOOSH welcomes Sally Taylor, VP + GM of B2B Scores at @FICO on her So Money podcast. Listen here: https://t.co/W5GvVplrYC
#FICOscore",https://bit.ly/2HnvAY4,,podcast
FICO,,,,,,,https://twitter.com/FICO/status/1318248477063774210,RT @identity_sarah: #fraudprevention is better if it doesn't also upset your customers - FICO survey of 172 banks uncovers the issues #frau…,,,event
FICO,,,,,,,https://twitter.com/FICO/status/1317179997199761408,"Register today for FICO's 3-day #virtualevent and and hear from industry experts and peers on how they are handling #digitaltransformation, #fraudprotection, and #debtcollections at their organizations. 

Register here: https://t.co/uetwKfSCk4 
#TakingControl2020 https://t.co/Ssv6Tf8Bbg",https://bit.ly/3dc5NxI,http://pbs.twimg.com/media/EkeQOFMXgAUunHg.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1316698388071669761,"RT @AnalyticsWeek: #BigData @AnalyticsWeek #FutureOfData #Podcast with @ScottZoldi, @FICO https://t.co/D7coIL6fS1",https://www.youtube.com/watch?v=wxFactKX_hI,,podcast
FICO,,,,,,,https://twitter.com/FICO/status/1315623542235435014,"RT @AnalyticsWeek: #BigData @AnalyticsWeek #FutureOfData #Podcast with @ScottZoldi, @FICO https://t.co/1mUgxvBbnb",https://soundcloud.com/futureofdata/fico,,podcast
FICO,,,,,,,https://twitter.com/FICO/status/1314644705674555393,We were proud to partner with @natfairhouse for their #NFHAconference2020. https://t.co/F0aNtM1I6d,https://twitter.com/natfairhouse/status/1314641955129880579,,conference
FICO,,,,,,,https://twitter.com/FICO/status/1314288569020678145,"That's a wrap on Score A Better Future #NewOrleans! Thank you to guest speaker, @MARCMORIAL for being part of our event today and encouraging our attendees to Score A Better Future for themselves and their families. #SABF #NOLA https://t.co/pFFSpLHX7Z",,http://pbs.twimg.com/media/Ej1KeszUcAAZPkN.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1314202483317592066,"The next #ScoreABetterFuture, the FREE #credit education event, is coming your way in just a few hours (12 pm ET)! We're proud to partner with local &amp; national organizations. If you'd like to join &amp; haven't registered, there's still time. Go to https://t.co/qXpHlo35jM #nolaevents https://t.co/QihQaiKv1k",https://bit.ly/3iv0qeL,http://pbs.twimg.com/media/Ejz8FfWUcAAplT8.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1313080639013498880,Do you want to cut your #FraudLosses?Join #FICO's expert panel of #Compliance and #FraudPrevention specialists as they look at how a cohesive approach to customer #IdentityManagement. Register now! https://t.co/gWDb27jFLC #FICO #DigitalBanking https://t.co/uLjY1rxubd,https://bit.ly/3hJEFY1,http://pbs.twimg.com/media/Ejj_4hQXgAAwQg8.png,event
FICO,,,,,,,https://twitter.com/FICO/status/1312098621240737795,"RT @hawkathon: #BigData @AnalyticsWeek #FutureOfData #Podcast with @ScottZoldi, @FICO https://t.co/LmoC3DBJuB",https://itun.es/i67M5yW,,podcast
FICO,,,,,,,https://twitter.com/FICO/status/1312096432816496641,"#FICO is proud to support the @AFSA_DC as Annual Meeting Diamond Sponsor. Join our experts at our virtual booth to learn about FICO #loanorigination, #fraudprevention, #collection &amp; #recovery solutions. 

Register here today: https://t.co/tbIQrUhzYe https://t.co/lOI0kdPrQK",https://bit.ly/36sPwmQ,http://pbs.twimg.com/media/EjWAsoeUwAIvLU9.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1311681627425132544,"RT @StBernardEDF: Excited to partner with @FICO on the #ScoreABetterFuture program, which will help consumers improve their understanding o…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1310580485953855488,"If you're in the #retailbanking industry, you can't miss @ConsumerBankers 's virtual #CBALive2020. @FICO's @FraudBird will be participating in the panel: “Balancing #Fraud Prevention &amp; the Customer Experience."" It all starts tomorrow! Register today! https://t.co/31qfThtp2W",https://bit.ly/2S2oZnU,,event
FICO,,,,,,,https://twitter.com/FICO/status/1309885851023945729,"ICYMI: Listen in as #FICO VP of Scores, Sally Taylor, discusses the new FICO® Resilience Index on the latest episode of @LendAcademy podcast with Peter Renton. https://t.co/eByQPlnjss",https://bit.ly/33Hxf1W,,podcast
FICO,,,,,,,https://twitter.com/FICO/status/1309824356319715328,"RT @thefinancebar: Have you applied for credit lately?Let’s keep the  #SummerSeries learning going!☀️

@FICO is committed to providing reso…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1308828593066106880,"Listen in as #FICO's Amartya Bhattacharjya &amp; Glenn Grossman discuss how earning a #banking customer’s trust comes through intentional, relevant &amp; personalized opportunities in this on-demand #webinar from our spring virtual event. https://t.co/wUnKzADfMU
#fintech #customercentric https://t.co/Qtnt1aUsHe",https://bit.ly/3mL6pib,http://pbs.twimg.com/ext_tw_video_thumb/1308828263716999168/pu/img/9qD724_Xal3C2nj-.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1308048922426904577,"RT @USChamber: Tune in TOMORROW for our #CyberSeries virtual event! Hear from @RepDebDingell, former Principal Deputy Director of National…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1307669601547956225,"RT @USChamber: Join our #CyberSeries virtual event on 9/21 and hear from @RepDebDingell, former Principal Deputy Director of National Intel…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1306634968970530819,RT @thefinancebar: How do you utilize your available #credit lines? To shop? To earn points? Let’s keep the #SummerSeries learning going!☀️…,,,event
FICO,,,,,,,https://twitter.com/FICO/status/1306006147300823040,"Read @dougoclare's new feature in @DarkReading in which he applies important lessons learned from the Great Recession to fight #fraud in today's #pandemic environment. https://t.co/YKr5AEnN2z

#fraudprevention #scams #phishingattacks #moneymuling #fraudsters",https://bit.ly/2FpNHvT,,event
FICO,,,,,,,https://twitter.com/FICO/status/1304403576022851587,"Join FICO at United FSC2020 Virtual @FiveStarInst Conference and Expo on September 14-15. This year's event is virtual and interactive. Check out a sneak peek of the conference experience and register here: https://t.co/It18HhXF5L

#mortgages #lending #housingmarket #lenders https://t.co/BpyXRck9CZ",https://lnkd.in/dViEFUr,http://pbs.twimg.com/media/EhosI4xWAAYvaNE.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1303774789119737862,"RT @AnalyticsAwWeek: #BigData @AnalyticsWeek #FutureOfData #Podcast with @ScottZoldi, @FICO https://t.co/NCkHspNnAE",http://bit.ly/2hCj1ct,,podcast
FICO,,,,,,,https://twitter.com/FICO/status/1303241871964209153,#FICO is a proud sponsor of PSD2 and Customer Authentication Summit 2020. Don’t miss FICO’s @dpanig speaking on: PSD2 SCA – Is It an opportunity to re-build the customer experience? Register Today! https://t.co/KgXbmo9Pjq #PSD2 #OpenBanking #authentication #SCA https://t.co/6noNaKPqKe,https://bit.ly/35e4zQH,http://pbs.twimg.com/media/EhYLk4VXkAAngi_.jpg,summit
FICO,,,,,,,https://twitter.com/FICO/status/1302969375826337792,"“91% of Hong Kong banks still trust the efficacy of existing rules-based #AML systems, but 83% also believe that AI will improve efforts in stopping money laundering.” Read this as @FICO's Timothy Choon gives away the ""secret sauce"" to preventing #fraud:  https://t.co/FP3OF5VBkN",https://bit.ly/3bCfzrW,,event
FICO,,,,,,,https://twitter.com/FICO/status/1302667977054138368,"With guest Joanne Gaskin, VP Scores + Analytics @FICO, @Farnoosh, one of America’s leading personal finance experts &amp; host of #SoMoney podcast, tackles consumers’ top #credit-related questions &amp; shares insights about credit score confusion. Listen here:https://t.co/2qfNlNcQX1 https://t.co/i18Hrz7h6S",https://bit.ly/31WXPEy,http://pbs.twimg.com/media/EhQBnxBWoAA2ddE.png,podcast
FICO,,,,,,,https://twitter.com/FICO/status/1301879131420995585,Proud to partner with @NEXTMtgEvents. https://t.co/GqR6wjelWp,https://twitter.com/NEXTMtgEvents/status/1301868288637571074,,event
FICO,,,,,,,https://twitter.com/FICO/status/1298981782079934466,RT @BowieState: BSU is partnering with @FICO are offering a free virtual event on credit score education. Register for today's #ScoreABette…,,,event
FICO,,,,,,,https://twitter.com/FICO/status/1298951892324753409,"In this webinar @JavelinStrategy Head of Payments @krista_tedder &amp; FICO VP #Fraud + Security Solutions @LizFightsFraud will share information changing the conversation from preventing commerce to enabling it &amp; ensuring innovation thrives. 
Register here: https://t.co/gieR5Wp0aB https://t.co/6vzatsmzbE",https://bit.ly/3jbMFBI,http://pbs.twimg.com/media/EgbN2CFWkAACxFK.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1298315605792227334,RT @ACAIntl: ACA VP &amp; Sr Counsel of Federal Advocacy Leah Dempsey on #TRACEDAct and #FCC regulations: “I think this is a good example of wh…,,,event
FICO,,,,,,,https://twitter.com/FICO/status/1298278668389830656,"With consumers now transacting so much more through their phones, how can banks protect their customers from #fraud and help their customers to protect themselves? FICO's @FraudBird offers some strategies and tips: https://t.co/rzQb5b0sAE

#fraudprevention #mobilebanking https://t.co/Mz1AJd6gIo",https://bit.ly/31roLMB,http://pbs.twimg.com/ext_tw_video_thumb/1298278619974897664/pu/img/VjsN3W0VhAxV6Y-S.jpg,event
FICO,,,,,,,https://twitter.com/FICO/status/1296055057578942466,"RT @FICOcloud: This September, there will be two #onlineevents on #optimization: #EUROWorkingGroup – Practice of #OR &amp; #CombinatorialOptimi…",,,event
FICO,,,,,,,https://twitter.com/FICO/status/1294770999939018752,"Manish Karir discusses how the FICO® Cyber Risk Score can be used to train a #machinelearning model to produce a #risk score that forecasts the likelihood of a future #breach event for a given company or its third-party vendors.

Learn more: https://t.co/rBWjz1rJbV
#cyberrisk #ML",https://bit.ly/33NopBk,,event
