Title,Url,Description,Publish At
The State of CTV Advertising: New Research with Digiday,https://info.innovid.com/blog/the-state-of-ctv-advertising-new-research-with-digiday,"When the pandemic confined people to their homes, streaming became a main source of information, entertainment, and escape. The freedom to view content on any device at any time became even more of a necessity for consumers and greatly accelerated viewership from linear to connected TV (CTV). This trend, along with many others brought about by the pandemic, will be a lasting one; eMarketer predicts that by the end of 2024, fewer than half of U.S. households will subscribe to linear TV.","Thu, 27 May 2021 16:24:57 GMT"
Life as a Product Manager at Innovid,https://info.innovid.com/blog/life-as-a-product-manager-at-innovid,"Being a Product Manager at Innovid is probably the closest you’ll get to being an entrepreneur without actually being one. The role is equally challenging and rewarding; it involves setting the product vision, defining metrics and goals, reaching alignment across team members and stakeholders, and executing to the highest standards. You’ll be running the show, creating your own processes to get things done.","Thu, 20 May 2021 23:12:14 GMT"
A Plea to Eliminate Manual Tag Wrapping,https://info.innovid.com/blog/a-plea-to-eliminate-manual-tag-wrapping,"Tag wrapping is a pain for everyone involved. Not only does the process of manually wrapping tags greatly slow down the general ad serving process, but it can also lead to delays in updates for marketers who are working with multiple third-party vendors and even delays in the campaign launch. Consider this a plea to set aside the error-prone process of manually wrapping tags and to embrace the accuracy of automation.","Tue, 18 May 2021 18:07:02 GMT"
OTT Composer Changed the Game for Publishers,https://info.innovid.com/blog/ott-composer-changed-the-game-for-publishers,"Having been focused on advanced video solutions at Innovid for the past few years, I’ve witnessed life before and after Innovid’s OTT Composer, a creative tool that allows brands and publishers to build their own interactive CTV ad experiences. In the “before times”, interactive CTV was still thought of as an emerging capability, and publishers were focusing their time on just making sure ads could go live correctly. Unlike desktop and mobile, CTV devices and apps lacked video player and tag type standardization, so every setup was unique and very, very manual. Fast forward to today: not only is CTV an integral part of any marketing mix — up 60% year over year in impressions — but it’s also seeing some of the most innovative creative developments in the industry.","Thu, 13 May 2021 20:02:33 GMT"
Auto Advertising Gains Horsepower: Video Insights from Innovid iQ,https://info.innovid.com/blog/auto-advertising-gains-horsepower-video-insights-from-innovid-iq,"In April 2021, total video impressions grew 81% year over year. Video impressions served via connected TV (CTV), in particular, grew 107% year over year last month and has accounted for the largest share of video impressions for 2021 to date. Perhaps no industry better encapsulated this CTV trend than auto, which saw a massive spike in CTV video impressions last month. Let’s dive into the highlights from our latest Innovid iQ release:","Wed, 12 May 2021 16:54:07 GMT"
CTV Advertising Takeaways from TVOT Live! 2021,https://info.innovid.com/blog/ctv-advertising-takeaways-from-tvot-live-2021,"Last week, Innovid showed up in full force at TVOT Live! 2021 with appearances from our Co-Founder and CEO, Zvika Netter; our Co-Founder and CTO, Tal Chalozin; and our GM Measurement and Analytics, Jessica Hogue. While much was discussed among the 100+ industry leaders driving innovation in TV, here are some of our key takeaways from the week:","Thu, 06 May 2021 16:00:00 GMT"
"Employee Spotlight: Sabrina Menzies, Director of Client Services, APAC",https://info.innovid.com/blog/employee-spotlight-sabrina-menzies-director-of-client-services-apac,"Our team at Innovid is spread across the Americas, EMEA, and APAC. We are so much more than a bunch of separate offices. We are truly a global team. When opportunities arise for our talented and self-driven employees to venture to new regions across the globe, we do everything we can to help make that happen. Case in point: Sabrina Menzies joined Innovid in Chicago six years ago, and she is now one of our valued team members in Sydney. Here’s what this Hans Zimmer superfan had to say about her experiences thus far:","Thu, 29 Apr 2021 16:00:00 GMT"
Fostering Inclusivity in the Workplace: A Conversation with Innovid and Friends in the DEI Space,https://info.innovid.com/blog/fostering-inclusivity-in-the-workplace-a-conversation-with-innovid-and-friends-in-the-dei-space,"Inclusivity may mean something different in different cultures, to different people, in different places. At Innovid, inclusivity means that each and every one of our employees feels respected, heard, and valued, regardless of their gender, race, sexual orientation, or position in the company. In an effort to foster our culture of inclusion, our employees have created DEI committees, each dedicated to implementing a variety of initiatives from building an internal mentorship program to having each culture and tentpole acknowledged and celebrated throughout the org. Most recently, we were honored to host a virtual panel of industry leaders, who make it their mission to create a more inclusive workplace (and world) for all:","Thu, 22 Apr 2021 20:38:01 GMT"
Innovid Expands Ad Server Integration with Moat by Oracle,https://info.innovid.com/blog/innovid-expands-ad-server-integration-with-moat-by-oracle,"Viewability and verification are essential when activating any omni-channel campaign, whether it be video or display. But historically the process of ensuring brand safety has come at the cost of speed, hampered by manual tag wrapping workflows. In mid-2016, Innovid developed a server-to-server integration with Moat Analytics, circumventing the need for any manual excel-based work on video placements. Today, Innovid is excited to announce the extension of this integration to support display. In addition to automating the wrapping process, this enhancement also uniquely includes support for viewability of site-served display placements.","Tue, 20 Apr 2021 18:11:48 GMT"
The Awakening of Telecom: Video Insights from Innovid iQ,https://info.innovid.com/blog/the-awakening-of-telecom-video-insights-from-innovid-iq,"The growth story continues: New Innovid iQ data from March 2021 shows that global video impressions increased 45% year over year, with TV and mobile both seeing substantial growth (81% and 28% year over year, respectively). Verticals that topped the video advertising list in February — automotive, CPG, and retail — continued to perform well last month, though it was telecom that really took off. Take a look at some recent Innovid iQ findings:","Thu, 15 Apr 2021 16:25:41 GMT"
